,file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,1+wL*wG
0,20210807_Tvib300K_Trot300K.spec,230000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,4.009977340698241,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628348874.507281,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_4000_60000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00033092498779296875, 'reinitialize': {'copy_database': 0.002899646759033203, 'memory_usage_warning': 0.002407073974609375, 'reset_population': 3.123283386230469e-05, 'value': 0.005358695983886719}, 'scaled_eq_linestrength': 0.009212970733642578, 'calc_lineshift': 0.0010461807250976562, 'calc_hwhm': 0.015119314193725586, 'generate_wavenumber_arrays': 0.004405021667480469, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.13536906242370605, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.00350189208984375, 'DLM_Distribute_lines': 0.019695281982421875, 'DLM_convolve': 3.8034400939941406, 'value': 3.964324474334717}, 'calc_other_spectral_quan': 0.010076284408569336, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,115755.0,boltzmann,6.0,5.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0,
1,20210807_Tvib300K_Trot300K_1.spec,430000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,1.9225525856018064,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628348879.023275,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_6000_60000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00030350685119628906, 'reinitialize': {'copy_database': 0.0045049190521240234, 'memory_usage_warning': 0.0015151500701904297, 'reset_population': 3.0994415283203125e-05, 'value': 0.0060689449310302734}, 'scaled_eq_linestrength': 0.007657527923583984, 'calc_lineshift': 0.0009186267852783203, 'calc_hwhm': 0.014659643173217773, 'generate_wavenumber_arrays': 0.010208606719970703, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.3240835666656494, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.0038909912109375, 'DLM_Distribute_lines': 0.02134990692138672, 'DLM_convolve': 1.4984242916107178, 'value': 1.8552985191345215}, 'calc_other_spectral_quan': 0.027327775955200195, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,210572.0,boltzmann,6.0,5.0,0.01,0.01,6000.0,6150.0,2000.0,1850.0,cm-1,0.01,430001.0,
2,20210807_Tvib300K_Trot300K_2.spec,630000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,13.299584150314331,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628348896.1952538,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_8000_60000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0004930496215820312, 'reinitialize': {'copy_database': 0.005700826644897461, 'memory_usage_warning': 0.0026667118072509766, 'reset_population': 5.7220458984375e-05, 'value': 0.008476734161376953}, 'scaled_eq_linestrength': 0.008676290512084961, 'calc_lineshift': 0.0011305809020996094, 'calc_hwhm': 0.027489185333251953, 'generate_wavenumber_arrays': 0.015743494033813477, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.47985196113586426, 'DLM_Initialized_vectors': 9.298324584960938e-06, 'DLM_closest_matching_line': 0.004950523376464844, 'DLM_Distribute_lines': 0.02365899085998535, 'DLM_convolve': 12.69097113609314, 'value': 13.207125663757324}, 'calc_other_spectral_quan': 0.030303001403808594, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,301576.0,boltzmann,6.0,5.0,0.01,0.01,8000.0,8150.0,2000.0,1850.0,cm-1,0.01,630001.0,
3,20210807_Tvib300K_Trot300K_3.spec,830000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,8.607014656066895,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628348909.9432418,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_10000_60000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00028061866760253906, 'reinitialize': {'copy_database': 0.004183530807495117, 'memory_usage_warning': 0.0019130706787109375, 'reset_population': 5.698204040527344e-05, 'value': 0.00617671012878418}, 'scaled_eq_linestrength': 0.008603572845458984, 'calc_lineshift': 0.0007548332214355469, 'calc_hwhm': 0.0316312313079834, 'generate_wavenumber_arrays': 0.019993066787719727, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.6160073280334473, 'DLM_Initialized_vectors': 1.049041748046875e-05, 'DLM_closest_matching_line': 0.005499362945556641, 'DLM_Distribute_lines': 0.022004365921020508, 'DLM_convolve': 7.8476598262786865, 'value': 8.499841213226318}, 'calc_other_spectral_quan': 0.03962135314941406, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,389355.0,boltzmann,6.0,5.0,0.01,0.01,10000.0,10150.0,2000.0,1850.0,cm-1,0.01,830001.0,
4,20210807_Tvib300K_Trot300K_4.spec,1030000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,14.804301500320435,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628348930.97523,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_12000_60000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0004367828369140625, 'reinitialize': {'copy_database': 0.004488945007324219, 'memory_usage_warning': 0.0017807483673095703, 'reset_population': 3.4332275390625e-05, 'value': 0.0063266754150390625}, 'scaled_eq_linestrength': 0.007335662841796875, 'calc_lineshift': 0.000858306884765625, 'calc_hwhm': 0.03540635108947754, 'generate_wavenumber_arrays': 0.022909164428710938, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.8351070880889893, 'DLM_Initialized_vectors': 1.049041748046875e-05, 'DLM_closest_matching_line': 0.005721330642700195, 'DLM_Distribute_lines': 0.02226877212524414, 'DLM_convolve': 13.810138463973999, 'value': 14.683853387832642}, 'calc_other_spectral_quan': 0.047051429748535156, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,471366.0,boltzmann,6.0,5.0,0.01,0.01,12000.0,12150.0,2000.0,1850.0,cm-1,0.01,1030001.0,
5,20210807_Tvib300K_Trot300K_5.spec,1230000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,28.848247051239014,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628348967.0432289,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_14000_60000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0003733634948730469, 'reinitialize': {'copy_database': 0.004073381423950195, 'memory_usage_warning': 0.0016150474548339844, 'reset_population': 3.2901763916015625e-05, 'value': 0.00574040412902832}, 'scaled_eq_linestrength': 0.00681757926940918, 'calc_lineshift': 0.0009098052978515625, 'calc_hwhm': 0.03741145133972168, 'generate_wavenumber_arrays': 0.030848979949951172, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.9338617324829102, 'DLM_Initialized_vectors': 9.775161743164062e-06, 'DLM_closest_matching_line': 0.0066983699798583984, 'DLM_Distribute_lines': 0.022269248962402344, 'DLM_convolve': 27.72825813293457, 'value': 28.699885845184326}, 'calc_other_spectral_quan': 0.06613826751708984, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,543823.0,boltzmann,6.0,5.0,0.01,0.01,14000.0,14150.0,2000.0,1850.0,cm-1,0.01,1230001.0,
6,20210807_Tvib300K_Trot300K_6.spec,1430000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,30.84270000457764,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628349007.2872546,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_16000_60000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002837181091308594, 'reinitialize': {'copy_database': 0.00290679931640625, 'memory_usage_warning': 0.0015766620635986328, 'reset_population': 4.839897155761719e-05, 'value': 0.004553079605102539}, 'scaled_eq_linestrength': 0.007947206497192383, 'calc_lineshift': 0.0011320114135742188, 'calc_hwhm': 0.03629803657531738, 'generate_wavenumber_arrays': 0.02984786033630371, 'calc_line_broadening': {'precompute_DLM_lineshapes': 1.191159963607788, 'DLM_Initialized_vectors': 9.775161743164062e-06, 'DLM_closest_matching_line': 0.006167173385620117, 'DLM_Distribute_lines': 0.02428126335144043, 'DLM_convolve': 29.462903022766113, 'value': 30.693886756896973}, 'calc_other_spectral_quan': 0.0686342716217041, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,597654.0,boltzmann,6.0,5.0,0.01,0.01,16000.0,16150.0,2000.0,1850.0,cm-1,0.01,1430001.0,
7,20210807_Tvib300K_Trot300K_7.spec,230000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.6348309516906738,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628349107.0354269,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_4000_60000_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.000431060791015625, 'reinitialize': {'copy_database': 0.004619598388671875, 'memory_usage_warning': 0.002505064010620117, 'reset_population': 3.314018249511719e-05, 'value': 0.007179975509643555}, 'scaled_eq_linestrength': 0.008437871932983398, 'calc_lineshift': 0.001073598861694336, 'calc_hwhm': 0.0235137939453125, 'generate_wavenumber_arrays': 0.005513906478881836, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.04237508773803711, 'DLM_Initialized_vectors': 1.33514404296875e-05, 'DLM_closest_matching_line': 0.005699872970581055, 'DLM_Distribute_lines': 0.028369665145874023, 'DLM_convolve': 0.497730016708374, 'value': 0.5777838230133057}, 'calc_other_spectral_quan': 0.010777950286865234, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,115755.0,boltzmann,6.0,5.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0,
8,20210807_Tvib300K_Trot300K_8.spec,430000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.9644410610198976,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628349110.491435,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_6000_60000_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0003695487976074219, 'reinitialize': {'copy_database': 0.0037224292755126953, 'memory_usage_warning': 0.0019032955169677734, 'reset_population': 3.743171691894531e-05, 'value': 0.005686759948730469}, 'scaled_eq_linestrength': 0.006834506988525391, 'calc_lineshift': 0.0007622241973876953, 'calc_hwhm': 0.0213773250579834, 'generate_wavenumber_arrays': 0.010178565979003906, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.045700788497924805, 'DLM_Initialized_vectors': 1.52587890625e-05, 'DLM_closest_matching_line': 0.004302024841308594, 'DLM_Distribute_lines': 0.021551847457885742, 'DLM_convolve': 0.8254570960998535, 'value': 0.8994765281677246}, 'calc_other_spectral_quan': 0.019643068313598633, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,210572.0,boltzmann,6.0,5.0,0.01,0.01,6000.0,6150.0,2000.0,1850.0,cm-1,0.01,430001.0,
9,20210807_Tvib300K_Trot300K_9.spec,630000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,1.8608512878417969,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628349115.6194482,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_8000_60000_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0003364086151123047, 'reinitialize': {'copy_database': 0.0039212703704833984, 'memory_usage_warning': 0.0015850067138671875, 'reset_population': 3.0517578125e-05, 'value': 0.005557060241699219}, 'scaled_eq_linestrength': 0.006505489349365234, 'calc_lineshift': 0.0011086463928222656, 'calc_hwhm': 0.037363529205322266, 'generate_wavenumber_arrays': 0.013586759567260742, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.05145692825317383, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.004238605499267578, 'DLM_Distribute_lines': 0.028036832809448242, 'DLM_convolve': 1.679030179977417, 'value': 1.7659986019134521}, 'calc_other_spectral_quan': 0.03023815155029297, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,301576.0,boltzmann,6.0,5.0,0.01,0.01,8000.0,8150.0,2000.0,1850.0,cm-1,0.01,630001.0,
